t,pred,prey,prey2,grass,grass2
2530,25,12,27,151,102
2540,27,12,27,153,104
2550,27,12,27,150,110
2560,27,12,27,152,111
2570,27,13,26,150,110
2580,26,13,26,154,108
2590,26,14,26,154,107
2600,26,12,25,156,107
2610,26,12,26,156,105
2620,26,13,25,159,106
2630,26,13,23,162,103
2640,25,14,19,163,105
2650,25,12,19,163,106
2660,25,13,19,162,103
2670,25,14,17,162,106
2680,24,12,18,163,106
2690,24,12,19,161,104
2700,24,11,17,159,103
2710,23,10,14,159,104
2720,22,10,15,155,108
2730,23,11,14,156,111
2740,23,10,14,153,110
2750,24,9,14,157,109
2760,24,9,14,154,108
2770,24,9,13,156,108
2780,24,9,13,154,112
2790,25,10,13,153,113
2800,25,10,14,151,115
2810,25,11,14,148,115
2820,25,11,12,147,116
2830,25,11,12,148,116
2840,24,12,13,149,119
2850,24,12,13,151,121
2860,24,12,14,151,117
2870,24,12,14,153,117
2880,25,11,15,157,119
2890,25,11,15,157,120
2900,25,11,15,160,122
2910,25,11,13,162,124
2920,24,12,12,165,126
2930,22,11,12,167,126
2940,22,12,12,163,124
2950,21,12,11,160,123
2960,20,13,10,163,124
2970,20,13,10,163,126
2980,20,13,11,164,126
2990,20,13,10,166,122
3000,19,13,9,162,121
3010,17,13,9,161,126
3020,17,13,9,159,122
3030,17,13,10,156,122
3040,17,15,11,154,121
3050,17,15,12,151,121
3060,16,16,11,147,118
3070,14,16,9,146,116
3080,14,16,9,143,115
3090,12,16,10,141,119
3100,12,16,10,136,120
3110,12,17,11,135,117
3120,12,18,11,138,113
3130,12,19,10,140,114
3140,12,21,10,137,119
3150,11,21,10,138,119
3160,11,21,10,134,114
3170,8,21,10,135,118
3180,8,22,10,134,117
3190,8,23,10,133,118
3200,8,23,12,136,117
3210,8,24,13,137,118
3220,7,24,13,138,117
3230,7,25,14,138,112
3240,7,24,14,138,109
3250,7,25,14,140,105
3260,7,24,15,139,105
3270,7,25,15,144,104
3280,7,25,15,149,101
3290,7,24,16,150,100
3300,7,25,18,147,99
3310,6,25,19,145,97
3320,5,25,19,142,94
3330,5,25,19,140,95
3340,5,23,19,140,100
3350,5,23,20,135,99
3360,5,25,20,136,99
3370,5,25,20,138,101
3380,5,25,20,135,106
3390,5,26,20,134,103
3400,4,26,22,130,103
3410,4,26,23,129,107
3420,4,27,24,128,108
3430,5,28,24,123,111
3440,5,30,24,124,113
3450,5,31,24,117,113
3460,5,32,24,112,115
3470,5,34,25,105,114
3480,5,33,25,104,109
3490,5,36,25,99,104
3500,5,36,25,105,100
3510,5,37,25,103,100
3520,5,37,25,103,97
3530,5,38,25,99,93
3540,5,39,25,94,95
3550,5,38,25,91,92
3560,5,39,24,91,84
3570,5,39,24,90,84
3580,5,40,25,90,85
3590,4,39,25,84,83
3600,4,42,25,84,84
3610,4,43,26,90,79
3620,4,42,27,88,78
3630,4,44,29,90,79
3640,4,46,28,89,78
3650,4,47,28,86,82
3660,4,47,28,83,80
3670,4,48,29,86,80
3680,4,49,30,84,78
3690,4,51,31,89,78
3700,4,51,32,87,80
3710,4,52,33,81,84
3720,4,54,34,79,83
3730,4,54,34,80,85
3740,5,54,35,75,86
3750,5,54,35,77,87
3760,5,56,36,73,89
3770,6,56,37,77,92
3780,6,55,37,75,87
3790,6,54,38,67,84
3800,6,55,38,67,81
3810,7,56,39,65,76
3820,7,58,39,62,73
3830,7,56,40,64,74
3840,7,57,40,69,74
3850,8,57,40,69,70
3860,8,58,40,68,70
3870,8,59,40,65,68
3880,8,60,40,65,64
3890,8,63,40,74,62
3900,8,63,39,78,57
3910,8,64,39,74,57
3920,8,65,39,81,55
3930,8,66,39,77,54
3940,8,68,39,80,56
3950,8,68,39,72,54
3960,8,70,40,74,56
3970,8,71,40,73,61
3980,8,72,39,69,61
3990,8,71,38,66,64
4000,8,72,42,72,65
4010,8,71,44,73,62
4020,7,72,46,69,63
4030,7,72,47,70,68
4040,7,76,47,68,66
4050,8,76,48,67,65
4060,8,78,49,71,63
4070,8,78,49,69,60
4080,8,80,50,65,64
4090,8,82,51,68,62
4100,8,83,53,64,56
4110,7,82,55,67,52
4120,7,86,54,67,54
4130,7,89,53,74,55
4140,8,89,53,72,59
4150,8,90,53,65,56
4160,8,89,55,68,58
4170,8,89,54,71,56
4180,8,88,57,69,53
4190,8,91,56,65,52
4200,8,93,55,68,55
4210,9,94,55,66,57
4220,9,94,55,66,61
4230,9,93,55,70,58
4240,9,92,55,70,53
4250,9,91,56,71,57
4260,9,92,55,69,56
4270,9,93,57,67,58
4280,9,93,57,70,63
4290,9,94,57,70,62
4300,9,94,56,72,64
4310,10,93,56,68,65
4320,10,90,56,70,69
4330,10,89,56,77,69
4340,10,90,57,82,68
4350,11,90,57,87,69
4360,11,89,58,84,69
4370,11,88,58,89,69
4380,11,87,59,87,68
4390,11,87,57,78,71
4400,11,86,61,74,66
4410,11,88,63,71,70
4420,11,88,63,72,69
4430,11,92,62,64,65
4440,11,93,63,68,59
4450,11,93,64,64,54
4460,11,92,62,68,51
4470,11,89,59,67,55
4480,12,89,53,68,55
4490,12,87,53,66,57
4500,12,84,52,60,59
4510,12,79,53,64,60
4520,12,79,54,63,62
4530,12,80,55,61,60
4540,12,83,54,65,60
4550,13,83,54,65,55
4560,13,80,52,63,52
4570,13,78,51,72,50
4580,13,78,53,74,47
4590,13,78,54,84,51
4600,13,78,55,76,57
4610,14,79,55,78,56
4620,14,77,55,76,56
4630,14,80,54,76,58
4640,15,81,55,75,54
4650,15,79,55,69,55
4660,15,81,54,62,53
4670,15,79,55,62,51
4680,16,77,55,67,51
4690,16,78,57,70,52
4700,16,77,55,65,57
4710,16,76,55,65,58
4720,17,76,55,65,59
4730,17,76,54,65,65
4740,17,76,54,67,61
4750,17,76,53,67,58
4760,17,75,51,64,65
4770,18,76,50,58,63
4780,19,72,50,65,54
4790,20,74,52,70,58
4800,19,73,53,79,59
4810,19,72,53,90,57
4820,19,71,52,85,62
4830,19,71,53,81,63
4840,21,71,53,85,64
4850,21,71,52,83,64
4860,21,70,51,86,63
4870,22,69,51,84,63
4880,22,68,50,90,64
4890,22,66,48,85,66
4900,23,66,47,88,70
4910,24,68,47,88,68
4920,24,65,48,86,63
4930,24,59,49,85,65
4940,24,57,47,87,64
4950,24,59,46,85,65
4960,24,58,46,85,75
4970,24,59,46,86,70
4980,25,56,46,84,66
4990,24,56,47,84,70
5000,24,54,47,91,72
5010,25,55,47,95,71
5020,25,55,47,95,72
5030,25,54,46,103,72
5040,25,53,45,102,78
5050,25,50,45,102,75
5060,25,49,46,98,79
5070,25,48,45,102,84
5080,25,47,45,100,83
5090,26,47,47,102,83
5100,28,46,47,106,90
5110,28,44,47,110,86
5120,28,42,47,110,88
5130,28,44,46,111,93
5140,28,44,44,110,95
5150,29,44,44,110,94
5160,29,43,41,115,98
5170,29,43,39,114,98
5180,29,42,39,108,102
5190,30,42,40,107,100
5200,30,39,37,109,98
5210,30,38,37,104,93
5220,30,36,36,109,90
5230,30,35,35,112,94
5240,32,32,33,115,93
5250,33,33,32,116,87
5260,34,32,32,115,87
5270,34,29,32,118,88
5280,34,28,32,121,82
5290,34,27,31,123,82
5300,33,29,31,124,86
5310,34,29,31,121,84
5320,34,30,30,114,82
5330,32,29,30,117,80
5340,32,29,31,118,83
5350,32,29,32,116,88
5360,33,27,32,124,90
5370,34,28,32,125,95
5380,34,27,31,125,96
5390,34,26,29,131,97
5400,34,27,26,132,102
5410,34,26,25,132,106
